WWTW_Name,Phosphorus_Concentration
ABBESS RODING WWTW,0.19486111099999998
ABBOTSBURY WWTW,0.3913774724
ALCONBURY WATER RECYCLING CENTRE,0.35753332268421056
ALDBOROUGH WATER RECYCLING CENTRE,1.4256148301818181
ALDERTON STW,0.22386666649999998
ALL CANNINGS WATER RECYLCING CENTRE,0.4595833335
AMBLESIDE WWTW,0.39964696409090905
AMESBURY STW,0.5947333333
APPLEBY WWTW,1.116965368
APPLEDORE WWTW,1.2281752382
APPLETON WASTEWATER TREATMENT WORKS,2.779513889
ARNESBY SEWAGE TREATMENT WORKS,0.57396717175
ASHBROOK WATER RECYCLING CENTRE,0.3299053872222222
ASHFORD WASTEWATER TREATMENT WORKS,0.371048611
"ASHINGTON WWTW, LONDON ROAD",0.48492424255555555
ASHLEY SEWAGE TREATMENT WORKS,0.9331565660000001
ASHOVER STW,0.730121212090909
ASHTON UNDER HILL STW,0.3755555556666667
ASHWELL WATER RECYCLING CENTRE,0.684027778
ASLOCKTON SEWAGE TREATMENT WORKS,0.146166667
ASPATRIA WASTEWATER TREATMENT WORKS,0.51525
ASTON-ON-CLUN STW,0.35464583325
ATTLEBOROUGH WRC,0.5404790838333334
AYLSHAM WATER RECYCLING CENTRE,0.48198160181818184
BADWELL ASH WATER RECYCLING CENTRE,0.6557083335
BALCOMBE WASTEWATER TREATMENT WORKS,0.7157392857
BALDERTON SEWAGE TREATMENT WORKS,0.32
BALDWINS GATE SEWAGE TREATMENT WRKS,0.6864166665
BALSALL COMMON WWTW,0.3662954545454546
BARFORD ST MARTIN WRC,0.7111773504
BARLESTONE WWTW,0.814340545
BARNS GREEN WWTW,0.2743125
BARSTON SEWAGE TREATMENT WORKS,0.5836608850909091
BARTON STACEY WWTW,0.1716597727
BARTON WASTE WATER TREATMENT WORKS,0.28350000000000003
BASINGSTOKE WWTW,0.26004629625
BATTLE WWTW,0.7256333334
BEARLEY STW,0.8996296296666667
BEDWORTH MARSTON LANE STW,0.69340972225
BELAUGH WATER RECYCLING CENTRE,0.7454085996363637
BELFORD SEWAGE TREATMENT WORKS,0.8188860916363635
BETHERSDEN WWTW,0.9057606060909091
BIDDENDEN WWTW,1.103764738181818
BILDESTON WATER RECYCLING CENTRE,0.45084722250000003
BILLESDON STW,0.6723303032000001
BISHOPS CASTLE STW,0.3589403580909091
BISHOPSWOOD STW,0.3352564103333333
BLACKBOYS WWTW,0.2085388885
BLAKEDOWN SEWAGE TREATMENT WORKS,0.5356969696363637
BLOCKLEY SEWAGE TREATMENT WORKS,0.6615555556666667
BODMIN NANSTALLON WWTW,0.3041666665
BODMIN SCARLETTS WELL STW,0.4200830003636364
BOSBURY RBC SEWAGE TREATMENT WORKS,0.6157007575
BOUGHTON STW,1.0214563491428572
BOURTON WATER RECYCLING CENTRE,0.6185416665000001
BOWBURN STW (2002),0.8203568651428572
BOXFORD WATER RECYCLING CENTRE,0.5609666668181817
BRAMCOTE WASTEWATER TREATMENT WORKS,0.8339680215
BRAMPTON (CARLISLE) WWTW,2.0909770785454547
BRAMPTON WATER RECYCLING CENTRE,0.3293246328181818
BRANCOTE SEWAGE TREATMENT WORKS,0.6385416665
BRANDON WRC,0.6482354536666667
BRAUNSTON STW,0.34741666675
BRINKLOW SEWAGE TREATMENT WORKS,0.5598556719090909
BRISTON WATER RECYCLING CENTRE,0.6638950494545455
"BROAD HINTON STW, BROAD HINTON, WIL",0.7128472225
BROCKDISH WATER RECYCLING CENTRE,1.3428488214444443
BROCKENHURST WWTW,0.7607616815454545
BROCKHAMPTON STW,0.12551515149999998
BROMYARD WWTW,0.6936363636363636
BROUGHTON ASTLEY STW,0.3671666665
BROWNEY STW,1.1474106177272727
BRUTON WASTEWATER TREATMENT WORKS,1.2491666664999999
BUCKDEN WATER RECYCLING CENTRE,0.2847724931818182
BUCKLAND NEWTON WRC,1.8483333335
BUCKNELL STW,0.38747933872727275
BULKINGTON WWTW,0.94020833325
BUNGAY WATER RECYCLING CENTRE,0.5478574074444444
BURSCOUGH WWTW,0.4936262979090909
BURWELL WATER RECYCLING CENTRE,0.5868560605555556
BUTTERKNOWLE SEWAGE TREATMENT WORKS,0.2764861115
BUXTED WWTW,0.371322222
BUXTON WASTEWATER TREATMENT WORKS,0.40759166669999997
BYFIELD WASTEWATER TREATMENT WORKS,0.3038095235
BYLAUGH WATER RECYCLING CENTRE,1.8385166666666666
CALTHWAITE WWTW,0.313636364
CAMBERLEY WWTW,0.25327160499999996
CAMELFORD WWTW,0.6341085857272728
CANNOCK SEWAGE TREATEMENT WORKS,0.6205555555
CARLISLE WWTW,1.6370109933333332
CATSFIELD WWTW,0.230680952
CEFN MAWR WwTW,0.6625
CHARING WWTW,0.4934166666666667
CHECKLEY SEWAGE TREATMENT WORKS,0.230509058
CHERITON FITZPAINE WWTW,0.7752676765
CHICKENHALL EASTLEIGH WWTW,0.7016253502727273
CHIDDINGFOLD WWTW,0.7444583334
CHIEVELEY WWTW,0.5115009091
CHILBOLTON WWTW,0.37390840227272726
CHILCOMPTON WWTW,0.8243833333333334
CHIPPING CAMPDEN STW,0.1825902775
CHIPPING WARDEN WWTW,0.21958333349999998
CHURCH STRETTON STW,0.6740959596363637
CHURCH WARSOP WWTW,0.4873838383636364
CILFYNYDD STW  CILFYNYDD  PONTYPRID,0.52
CIRENCESTER WWTW,0.7737198465
CLAPHAM WASTEWATER TREATMENT WORKS,0.9751402918888891
CLARE WATER RECYCLING CENTRE,0.8744375
CLAVERDON STW,0.6825416667499999
CLAYBROOKE MAGNA STW,0.22105555566666668
CLEATOR WWTW,0.33813469636363636
CLIFTON CAMPVILLE STW,1.0425083334
CLIFTON WATER RECYCLING CENTRE,0.529640735
CLIVE SEWAGE TREATMENT WORKS,0.887777778
CLOWNE SEWAGE TREATMENT WORKS,0.5291666667272727
CLUN STW,0.12710984825
CLYNDERWEN STW,0.4683333333333333
COCKERMOUTH WWTW,0.5480128204545455
COCKFIELD STW,0.4667920835
CODSALL SEWAGE TREATMENT WORKS,0.15083404533333333
COLDWALTHAM WWTW,0.8039786500909091
COLNE WASTE WATER TREATMENT WORKS,0.277568182
COLTON SEWAGE TREATMENT WORKS,0.570138889
CONISTON WWTW,0.30827206118181816
COOLHAM WWTW,2.1689
COPFORD WATER RECYCLING CCENTRE,0.6045533332999999
CORLEY SEWAGE TREATMENT WORKS,0.517037037
COSLECH STW  PETERSTON SUPER ELY,0.664
COVENTRY-FINHAM WWTW,0.1160296055
COWFOLD WWTW,0.4188277775
CRANBORNE SEWAGE TREATMENT WORKS,0.7351515152727273
CRANBROOK WWTW,1.3100555553636364
CRAVEN ARMS STW,0.4020729165
CRESWELL SEWAGE TREATMENT WORKS,0.482469697
CREWE WWTW,0.354702381
CRONDALL WASTEWATER TREATMENT WORKS,0.233333333
CROPWELL BISHOP STW,0.4045833335
CROSSHANDS WWTW,1.2999999999999998
